"band","state","region","avg_strength","avg_degree","avg_betweenness","hub_count"
"alpha","meditation","occipital",2.30440672538112,30.875,0.0238095238095238,8
"alpha","meditation","other",0.614549744282328,8.90322580645161,0.00871281568471995,62
"alpha","meditation","frontal",0.597152857793934,8.59090909090909,0.0017921146953405,22
"alpha","meditation","parietal",0.490776038134503,7.42857142857143,0.0116670324043596,14
"alpha","meditation","central",0.433400534151812,6.22222222222222,0.00719690504636741,18
"alpha","meditation","temporal",0.0611147035650688,1,0.000128008192524322,4
"alpha","thinking","occipital",2.12938650232926,29,0.0224014336917563,4
"alpha","thinking","other",0.628093648631312,9.35483870967742,0.00862197116099301,31
"alpha","thinking","frontal",0.554766056844006,8.18181818181818,0.00102406554019457,11
"alpha","thinking","parietal",0.499256138526333,7.71428571428571,0.0154341306415039,7
"alpha","thinking","central",0.408395627174962,6,0.00529100529100529,9
"alpha","thinking","temporal",0,0,0,2
"beta","meditation","occipital",0.223037831431726,18.375,0.0347542242703533,8
"beta","meditation","central",0.138302298555419,10.7222222222222,0.00935882118677818,18
"beta","meditation","other",0.119809518765961,9.64516129032258,0.0133871793601242,62
"beta","meditation","frontal",0.11145361013943,8.77272727272727,0.00391006842619746,22
"beta","meditation","parietal",0.0604109804617096,5.28571428571429,0.0138248847926267,14
"beta","meditation","temporal",0.00975809071616348,0.75,0.00678443420378904,4
"beta","thinking","occipital",0.150114081473091,15.25,0.0266257040450589,4
"beta","thinking","central",0.138935680107196,13.1111111111111,0.0125163566023781,9
"beta","thinking","other",0.0956141838659061,9.41935483870968,0.0139405050955519,31
"beta","thinking","parietal",0.0813209130329074,8.42857142857143,0.0264062614293029,7
"beta","thinking","frontal",0.0636815313947746,6.45454545454545,0.00242051854955081,11
"beta","thinking","temporal",0.0136000758959598,1.5,0.00153609831029186,2
